length, entropy, alexa_grams, word_grams, diff, class
11,3.095795,41.66934,55.336891,-13.667551,legit
9,2.947703,16.416639,14.237971,2.178668,legit
9,2.725481,25.364789,21.087557,4.277232,legit
6,2.584963,7.024629,2.932981,4.091648,legit
8,2.75,15.412661,20.732203,-5.319542,legit
4,2,2.580925,3.041787,-0.460862,legit
8,2.75,20.402182,24.34485,-3.942668,legit
8,2.75,14.003076,18.400133,-4.397057,legit
12,3.251629,52.063129,66.558542,-14.495413,legit
12,2.918296,40.8783,40.213868,0.664432,legit
15,3.640224,24.105974,34.587014,-10.48104,legit
21,3.535175,82.566056,70.742627,11.823429,legit
9,2.947703,19.516727,28.52089,-9.004163,legit
20,3.041446,71.96667,107.722713,-35.756043,legit
14,3.235926,63.099345,70.876277,-7.776932,legit
12,2.617492,29.945348,36.89125,-6.945903,legit
12,3.251629,47.663367,41.332956,6.330411,legit
16,3.07782,64.897157,76.949565,-12.052408,legit
15,3.456565,73.077134,67.392087,5.685047,legit
5,2.321928,10.707548,15.2335,-4.525952,legit
9,2.947703,18.395547,16.672244,1.723303,legit
15,3.189898,58.437257,72.344647,-13.907389,legit
6,2.584963,7.082635,6.681797,0.400839,legit
10,2.921928,30.296596,39.920882,-9.624287,legit
11,3.095795,35.677761,53.002053,-17.324291,legit
16,3.125,70.32672,97.611751,-27.285031,legit
12,3.084963,41.913462,44.07343,-2.159969,legit
12,2.584963,43.23605,59.662246,-16.426196,legit
13,3.392747,38.845067,35.025683,3.819385,legit
19,3.260828,70.506261,71.904336,-1.398075,legit
10,2.721928,31.128852,42.832146,-11.703293,legit
9,2.947703,14.342337,9.521778,4.820559,legit
11,3.277613,36.738861,45.620701,-8.881841,legit
13,3.085055,54.413071,68.730678,-14.317606,legit
5,2.321928,9.388514,10.827192,-1.438677,legit
8,2.75,25.830239,28.097772,-2.267533,legit
9,2.947703,34.431825,46.701694,-12.269868,legit
9,2.947703,23.01876,34.764571,-11.745811,legit
14,3.235926,36.245622,48.067882,-11.82226,legit
13,3.70044,40.863058,37.118413,3.744646,legit
19,3.215841,74.508461,106.029355,-31.520894,legit
7,2.521641,11.234992,12.954143,-1.719151,legit
9,2.947703,21.498855,27.751498,-6.252642,legit
14,3.521641,40.744374,40.156783,0.587591,legit
15,3.506891,63.662926,79.458609,-15.795683,legit
15,3.506891,55.722392,74.924594,-19.202202,legit
12,2.918296,57.040746,64.1323,-7.091555,legit
10,3.121928,29.95829,31.438332,-1.480043,legit
6,2.584963,9.917728,10.234388,-0.31666,legit
15,3.373557,58.816685,73.940667,-15.123982,legit
8,3,28.885934,34.838223,-5.952289,legit
6,2.251629,12.579495,17.612069,-5.032573,legit
7,2.128085,20.478903,28.963866,-8.484963,legit
15,2.923231,61.035597,82.341182,-21.305585,legit
18,3.46132,76.412952,88.114063,-11.701111,legit
10,2.370951,36.132721,40.592804,-4.460082,legit
14,3.521641,35.300579,39.862728,-4.562149,legit
12,3.418296,34.858145,57.755313,-22.897168,legit
7,2.521641,7.339547,19.544874,-12.205327,legit
16,3.57782,71.972314,68.820642,3.151672,legit
9,2.419382,22.924634,27.548952,-4.624318,legit
8,3,24.724389,21.080762,3.643627,legit
13,3.026987,38.242702,48.259945,-10.017242,legit
8,2.75,16.365833,20.386134,-4.020301,legit
9,2.947703,25.207496,31.771706,-6.56421,legit
11,2.845351,44.864936,50.012991,-5.148054,legit
12,3.251629,32.927513,49.300773,-16.37326,legit
10,2.721928,21.434543,24.311904,-2.877361,legit
9,3.169925,23.905001,20.095217,3.809784,legit
9,2.503258,20.518986,23.927972,-3.408986,legit
18,3.266333,64.814606,101.47338,-36.658774,legit
9,2.947703,15.713707,12.579132,3.134575,legit
17,3.29277,52.954906,44.782438,8.172469,legit
8,3,8.97569,6.287666,2.688024,legit
10,3.121928,40.921794,29.557861,11.363933,legit
20,3.721928,92.564187,103.62375,-11.059562,legit
8,3,13.184457,9.647518,3.536938,legit
17,3.219528,46.581006,77.137878,-30.556872,legit
13,3.026987,60.647046,79.023206,-18.37616,legit
6,2.584963,6.243994,5.341727,0.902267,legit
10,3.121928,26.727377,32.085481,-5.358104,legit
6,2.584963,11.568904,12.068048,-0.499144,legit
7,2.128085,17.47066,22.591379,-5.120719,legit
5,1.921928,6.176557,10.964125,-4.787568,legit
11,3.095795,16.09613,25.437911,-9.341782,legit
10,2.721928,35.869686,43.811981,-7.942295,legit
9,2.503258,25.076952,51.514185,-26.437233,legit
6,2.584963,10.543264,14.242531,-3.699267,legit
5,1.521928,9.947653,15.78587,-5.838216,legit
19,3.366091,50.958643,66.019318,-15.060675,legit
10,2.921928,40.361906,58.559147,-18.197241,legit
10,3.121928,35.359971,39.951322,-4.59135,legit
13,3.180833,27.422611,40.897986,-13.475375,legit
11,2.845351,37.119349,36.568654,0.550694,legit
5,2.321928,5.084576,5.601704,-0.517127,legit
7,2.521641,24.059898,32.020851,-7.960953,legit
6,2.251629,7.123603,11.665833,-4.54223,legit
16,3.125,69.042654,69.531828,-0.489173,legit
14,3.378783,41.871427,48.552787,-6.68136,legit
16,3.32782,69.488276,94.550339,-25.062062,legit
7,2.235926,8.124493,9.490994,-1.366501,legit
5,1.921928,5.842946,7.634889,-1.791943,legit
13,3.026987,51.551179,57.085453,-5.534275,legit
14,3.182006,54.249971,65.627414,-11.377443,legit
8,2.75,19.132848,30.310421,-11.177572,legit
9,2.725481,25.673383,30.620858,-4.947475,legit
11,3.095795,28.290037,38.685359,-10.395322,legit
15,3.006239,60.666292,72.177278,-11.510986,legit
6,2.251629,11.962958,16.684219,-4.721261,legit
15,3.106891,39.576888,42.324862,-2.747974,legit
12,2.688722,46.600292,56.509921,-9.90963,legit
6,2.584963,3.227887,0,3.227887,legit
15,3.240224,59.63053,83.40355,-23.77302,legit
7,2.521641,17.872813,26.42171,-8.548897,legit
5,1.921928,4.700877,6.769466,-2.06859,legit
16,3.20282,42.476625,60.419716,-17.943091,legit
9,2.947703,13.145423,18.579251,-5.433828,legit
13,3.334679,45.970684,60.987604,-15.01692,legit
11,3.277613,21.027651,16.060741,4.96691,legit
9,2.947703,27.234122,37.355159,-10.121036,legit
12,3.251629,31.379475,49.005442,-17.625967,legit
12,3.251629,15.925298,22.039449,-6.114151,legit
6,1.918296,11.054851,12.280661,-1.22581,legit
15,3.373557,52.463663,50.466382,1.997281,legit
11,2.913977,35.716972,63.405279,-27.688307,legit
16,3.280639,69.110983,86.795583,-17.6846,legit
13,2.873141,46.798895,58.391782,-11.592886,legit
15,3.240224,59.331859,61.283377,-1.951518,legit
10,2.846439,37.165215,47.33868,-10.173465,legit
6,2.584963,21.152816,25.975059,-4.822243,legit
7,2.807355,12.783022,17.093997,-4.310976,legit
8,2.75,14.160895,18.589897,-4.429001,legit
12,3.251629,40.418181,44.221562,-3.803382,legit
4,2,6.003887,6.206391,-0.202505,legit
